idx, iToken_name, iToken_address, token, tokenName, collateralFactor, borrowTarget, tvl, apr, vault, current rewards 
0,iUSDC,0x5268b3c4afb0860D365a093C184985FCFcb65234,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,8499,8415,2804293.93,0,vault,undefined
1,iUSDT,0xb3ab7148cCCAf66686AD6C1bE24D83e58E6a504e,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,8499,8415,1208163.48,0,vault,undefined
3,iDAI,0xec85F77104Ffa35a5411750d70eDFf8f1496d95b,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,DAI,8499,8415,2409840.24,0,vault,undefined
